qi	z3,z4,z6,z7	rank	graph_sigma	n_classes	min_n_good	argmin_z2,z5,z8	n_fallback	n_unsaturated
6432	1,6,22,8	2	0	19683	255	16,0,1	0	0
6433	1,7,22,8	2	0	19683	255	21,9,19	0	0
6434	1,8,22,8	2	0	19683	255	9,22,10	0	0
6435	1,9,22,8	2	0	19683	253	25,15,1	0	0
6436	1,10,22,8	2	0	19683	269	3,21,6	0	0
6437	1,11,22,8	2	0	19683	253	23,17,12	0	0
6438	1,12,22,8	2	0	19683	255	25,2,18	0	0
6439	1,13,22,8	2	0	19683	255	21,12,0	0	0
6440	1,14,22,8	2	0	19683	258	3,13,6	0	0
6441	1,15,22,8	2	0	19683	253	9,12,17	0	0
6442	1,16,22,8	2	0	19683	252	20,4,15	0	0
6443	1,17,22,8	2	0	19683	258	10,15,21	0	0
6444	1,18,22,8	2	0	19683	252	24,21,4	0	0
6445	1,19,22,8	2	0	19683	256	21,10,23	0	0
6446	1,20,22,8	2	0	19683	252	16,19,13	0	0
6447	1,21,22,8	2	0	19683	259	14,19,21	0	0
6448	1,22,22,8	2	0	19683	253	6,6,4	0	0
6449	1,23,22,8	2	0	19683	259	5,7,16	0	0
6450	1,24,22,8	2	0	19683	252	4,26,22	0	0
6451	1,25,22,8	2	0	19683	255	21,0,16	0	0
6452	1,26,22,8	1	0	19683	256	4,7,4	0	0
6453	1,0,23,8	2	0	19683	255	6,20,17	0	0
6454	1,1,23,8	2	0	19683	253	25,22,9	0	0
6455	1,2,23,8	2	0	19683	252	23,20,26	0	0
6456	1,3,23,8	2	0	19683	253	15,14,7	0	0
6457	1,4,23,8	2	0	19683	253	10,1,16	0	0
6458	1,5,23,8	2	0	19683	254	12,15,18	0	0
6459	1,6,23,8	2	0	19683	252	11,22,4	0	0
6460	1,7,23,8	2	0	19683	253	24,2,13	0	0
6461	1,8,23,8	2	0	19683	253	15,8,7	0	0
6462	1,9,23,8	2	0	19683	269	1,5,4	0	0
6463	1,10,23,8	2	0	19683	258	11,14,13	0	0
6464	1,11,23,8	2	0	19683	259	8,10,6	0	0
6465	1,12,23,8	2	0	19683	253	21,1,0	0	0
6466	1,13,23,8	2	0	19683	253	10,5,0	0	0
6467	1,14,23,8	2	0	19683	256	8,22,5	0	0
6468	1,15,23,8	1	0	19683	256	2,20,1	0	0
6469	1,16,23,8	2	0	19683	258	8,2,5	0	0
6470	1,17,23,8	2	0	19683	255	17,10,18	0	0
6471	1,18,23,8	2	0	19683	259	3,9,23	0	0
6472	1,19,23,8	2	0	19683	259	23,20,3	0	0
6473	1,20,23,8	2	0	19683	256	26,6,18	0	0
6474	1,21,23,8	2	0	19683	247	6,11,21	0	0
6475	1,22,23,8	2	0	19683	259	5,26,19	0	0
6476	1,23,23,8	2	0	19683	252	9,1,20	0	0
6477	1,24,23,8	2	0	19683	253	26,4,12	0	0
6478	1,25,23,8	2	0	19683	253	26,14,11	0	0
6479	1,26,23,8	2	0	19683	247	12,14,24	0	0
6480	1,0,24,8	2	0	19683	252	11,4,6	0	0
6481	1,1,24,8	2	0	19683	253	24,16,12	0	0
6482	1,2,24,8	2	0	19683	255	21,11,23	0	0
6483	1,3,24,8	2	0	19683	255	25,12,23	0	0
6484	1,4,24,8	2	0	19683	255	5,3,1	0	0
6485	1,5,24,8	2	0	19683	255	7,23,11	0	0
6486	1,6,24,8	2	0	19683	258	18,4,24	0	0
6487	1,7,24,8	2	0	19683	254	1,24,9	0	0
6488	1,8,24,8	2	0	19683	252	6,3,24	0	0
