cand_idx	dir_d	line_q	x1	x2	x3	lambda_label	y1	y2	collision_type	n_colliding_roots
592	10	14	4	21	14	l1	12	24	offline_retained	1
594	10	14	4	14	21	l2	11	21	third_point_x3	1
595	10	14	4	21	14	l2	24	25	offline_retained	1
597	10	14	4	14	21	1	2	18	offline_retained	1
599	10	14	14	21	4	1	1	16	offline_retained	1
600	10	17	5	12	22	l3	20	21	offline_retained	1
605	10	17	12	22	5	l1	2	20	offline_retained	1
607	10	17	5	22	12	l2	6	20	offline_retained	1
612	10	19	6	16	26	l3	5	7	offline_retained	1
615	10	19	6	16	26	l1	7	13	offline_retained	1
617	10	19	16	26	6	l1	6	25	third_point_x3	1
622	10	19	6	26	16	1	9	15	offline_retained	1
623	10	19	16	26	6	1	8	21	offline_retained	1
625	10	22	7	24	17	l3	10	15	offline_retained	1
629	10	22	17	24	7	l1	1	10	offline_retained	1
630	10	22	7	17	24	l2	3	10	offline_retained	1
639	10	25	8	15	25	l1	12	24	offline_retained	1
642	10	25	8	15	25	l2	12	14	offline_retained	1
643	10	25	8	25	15	l2	15	19	third_point_x3	1
646	10	25	8	25	15	1	1	9	offline_retained	1
647	10	25	15	25	8	1	2	23	offline_retained	1
663	11	21	1	9	20	l2	11	26	offline_retained	1
667	11	21	1	20	9	l3	6	11	offline_retained	1
671	11	21	9	20	1	l1	11	24	offline_retained	1
676	11	15	2	18	10	l2	13	19	offline_retained	1
678	11	15	2	10	18	l3	3	19	offline_retained	1
683	11	15	10	18	2	l1	12	19	offline_retained	1
685	11	16	3	22	14	1	21	24	offline_retained	1
686	11	16	14	22	3	1	12	16	offline_retained	1
687	11	16	3	14	22	l2	17	20	offline_retained	1
689	11	16	14	22	3	l2	3	8	third_point_x3	1
693	11	16	3	14	22	l1	10	20	offline_retained	1
696	11	1	4	12	23	1	14	26	offline_retained	1
697	11	1	4	23	12	1	13	15	offline_retained	1
701	11	1	12	23	4	l2	9	18	offline_retained	1
703	11	1	4	23	12	l3	7	12	third_point_x3	1
704	11	1	12	23	4	l3	8	9	offline_retained	1
708	11	22	5	13	21	1	6	23	offline_retained	1
709	11	22	5	21	13	1	3	25	offline_retained	1
716	11	22	13	21	5	l3	1	2	offline_retained	1
718	11	22	5	21	13	l1	13	17	third_point_x3	1
719	11	22	13	21	5	l1	1	7	offline_retained	1
720	11	23	6	17	25	1	12	15	offline_retained	1
722	11	23	17	25	6	1	23	24	offline_retained	1
724	11	23	6	25	17	l2	10	22	offline_retained	1
725	11	23	17	25	6	l2	4	6	third_point_x3	1
730	11	23	6	25	17	l1	10	20	offline_retained	1
732	11	17	7	15	26	1	6	14	offline_retained	1
733	11	17	7	26	15	1	3	16	offline_retained	1
740	11	17	15	26	7	l3	1	2	offline_retained	1
741	11	17	7	15	26	l1	22	26	third_point_x3	1
743	11	17	15	26	7	l1	2	5	offline_retained	1
744	11	2	8	16	24	1	21	26	offline_retained	1
745	11	2	8	24	16	1	13	25	offline_retained	1
749	11	2	16	24	8	l2	9	18	offline_retained	1
750	11	2	8	16	24	l3	5	24	third_point_x3	1
752	11	2	16	24	8	l3	4	18	offline_retained	1
772	12	19	1	25	13	l1	7	12	offline_retained	1
776	12	19	13	25	1	l2	12	21	offline_retained	1
777	12	19	1	13	25	l3	12	23	offline_retained	1
783	12	11	2	14	26	l1	5	24	offline_retained	1
788	12	11	14	26	2	l2	15	24	offline_retained	1
790	12	11	2	26	14	l3	16	24	offline_retained	1
792	12	1	3	15	18	1	17	23	offline_retained	1
793	12	1	3	18	15	1	11	16	offline_retained	1
796	12	1	3	18	15	l1	8	15	third_point_x3	1
797	12	1	15	18	3	l1	6	13	offline_retained	1
803	12	1	15	18	3	l3	13	26	offline_retained	1
804	12	20	4	16	19	1	7	18	offline_retained	1
805	12	20	4	19	16	1	5	22	offline_retained	1
809	12	20	16	19	4	l1	1	2	offline_retained	1
811	12	20	4	19	16	l2	10	16	third_point_x3	1
812	12	20	16	19	4	l2	1	8	offline_retained	1
