stratum	metric	value	count
rank1-graph	n_split_distinct	694	156
rank1-graph	n_split_distinct	695	312
rank1-graph	n_split_distinct	696	78
rank1-graph	n_split_distinct	697	156
rank1-graph	n_split_distinct	698	78
rank1-graph	n_split_distinct	699	78
rank1-graph	n_split_distinct	704	78
rank1-graph	n_split_distinct	705	156
rank1-graph	n_split_distinct	708	78
rank1-graph	n_split_distinct	709	78
rank1-graph	n_split_distinct	719	78
rank1-graph	n_split_distinct	1104	117
rank1-graph	n_split_distinct	1300	378
rank1-graph	n_split_distinct	1404	234
rank1-graph	n_zero_disc	0	729
rank1-graph	n_zero_disc	23	78
rank1-graph	n_zero_disc	24	78
rank1-graph	n_zero_disc	25	78
rank1-graph	n_zero_disc	27	156
rank1-graph	n_zero_disc	28	2340
rank1-graph	n_zero_disc	29	702
rank1-graph	n_zero_disc	30	858
rank1-graph	n_zero_disc	31	1690
rank1-graph	n_zero_disc	32	2262
rank1-graph	n_zero_disc	33	1716
rank1-graph	n_zero_disc	34	4680
rank1-graph	n_zero_disc	35	5460
rank1-graph	n_zero_disc	36	6708
rank1-graph	n_zero_disc	37	6422
rank1-graph	n_zero_disc	38	9282
rank1-graph	n_zero_disc	39	11154
rank1-graph	n_zero_disc	40	15366
rank1-graph	n_zero_disc	41	15054
rank1-graph	n_zero_disc	42	16237
rank1-graph	n_zero_disc	43	17290
rank1-graph	n_zero_disc	44	19682
rank1-graph	n_zero_disc	45	25688
rank1-graph	n_zero_disc	46	24232
rank1-graph	n_zero_disc	47	27456
rank1-graph	n_zero_disc	48	23062
rank1-graph	n_zero_disc	49	29952
rank1-graph	n_zero_disc	50	26780
rank1-graph	n_zero_disc	51	22126
rank1-graph	n_zero_disc	52	23374
rank1-graph	n_zero_disc	53	25350
rank1-graph	n_zero_disc	54	24466
rank1-graph	n_zero_disc	55	20904
rank1-graph	n_zero_disc	56	20618
rank1-graph	n_zero_disc	57	16328
rank1-graph	n_zero_disc	58	15392
rank1-graph	n_zero_disc	59	11414
rank1-graph	n_zero_disc	60	14456
rank1-graph	n_zero_disc	61	11414
rank1-graph	n_zero_disc	62	9373
rank1-graph	n_zero_disc	63	6552
rank1-graph	n_zero_disc	64	5538
rank1-graph	n_zero_disc	65	6318
rank1-graph	n_zero_disc	66	4550
rank1-graph	n_zero_disc	67	3302
rank1-graph	n_zero_disc	68	3796
rank1-graph	n_zero_disc	69	2678
rank1-graph	n_zero_disc	70	1794
rank1-graph	n_zero_disc	71	1326
rank1-graph	n_zero_disc	72	1482
rank1-graph	n_zero_disc	73	546
rank1-graph	n_zero_disc	74	858
rank1-graph	n_zero_disc	75	468
rank1-graph	n_zero_disc	76	234
rank1-graph	n_zero_disc	77	390
rank1-graph	n_zero_disc	78	78
rank1-graph	n_zero_disc	79	78
rank1-graph	n_zero_disc	80	156
rank1-graph	n_zero_disc	81	156
rank1-graph	n_zero_disc	82	156
rank1-graph	n_zero_disc	83	156
rank1-graph	n_zero_disc	84	78
rank1-graph	n_zero_disc	101	26
rank1-graph	n_zero_disc	156	1
rank1-graph	n_good_lambda1	0	1
rank1-graph	n_good_lambda1	55	156
