z2,z3,z4,z5,z6,z7,z8	cand_idx	nine_set
22,0,1,19,20,16,2	7	1,5,12,13,14,15,24,25,26
22,1,2,24,26,5,0	2	0,3,4,5,6,7,8,12,18
22,1,3,13,9,1,1	6	2,12,13,14,20,22,24,25,26
22,1,10,11,9,26,20	4	0,1,9,10,11,12,18,19,20
22,1,12,3,7,10,16	5	0,4,6,9,10,11,18,19,20
22,1,13,14,24,1,22	1	1,3,4,5,6,7,8,10,21
22,1,17,5,18,11,1	0	2,3,4,5,6,7,8,11,13
22,1,24,5,2,10,13	4	1,3,8,9,10,11,18,19,20
23,1,3,15,7,12,5	2	0,3,4,5,6,7,8,14,22
23,1,9,7,13,15,9	1	1,3,4,5,6,7,8,10,16
23,1,25,0,25,11,7	1	1,3,4,5,6,7,8,14,16
24,1,2,7,13,2,4	4	1,4,9,10,11,15,18,19,20
24,1,3,16,10,0,7	0	2,3,4,5,6,7,8,14,19
24,1,6,23,7,17,10	1	1,3,4,5,6,7,8,20,22
24,1,14,19,22,17,20	3	2,4,9,10,11,18,19,20,23
24,1,18,18,13,16,3	4	1,6,9,10,11,18,19,20,23
24,1,19,24,1,18,13	0	2,3,4,5,6,7,8,9,15
25,0,1,1,25,7,8	1	1,3,4,5,6,7,8,9,23
25,1,6,2,1,0,13	4	1,4,9,10,11,17,18,19,20
25,1,11,25,26,3,14	0	2,3,4,5,6,7,8,17,19
25,1,13,16,4,3,5	3	2,9,10,11,17,18,19,20,22
25,1,20,26,16,12,1	10	1,4,8,15,16,17,21,22,23
25,1,21,21,19,8,11	1	1,3,4,5,6,7,8,15,21
25,1,22,20,13,15,10	0	0,2,3,4,5,6,7,8,11
25,1,23,1,17,8,5	2	0,3,4,5,6,7,8,15,21
26,1,8,17,22,16,24	0	2,3,4,5,6,7,8,9,12
26,1,9,4,26,15,15	2	0,3,4,5,6,7,8,14,18
26,1,15,21,9,16,4	5	0,9,10,11,16,18,19,20,25
26,1,17,1,12,22,11	0	2,3,4,5,6,7,8,18,20
26,1,20,0,20,15,11	0	2,3,4,5,6,7,8,10,14
26,1,25,3,5,4,5	2	0,3,4,5,6,7,8,16,17
26,1,26,0,1,20,3	0	1,2,3,4,5,6,7,8,13
