orbit_rep	orbit_size	torus_frobenius_rep	category	max_plane_intersection	n_lines_contained	parallel_directions	nine_set
116521	26	116521	d-none	5	2	-	0,3,5,8,9,10,14,15,16
123175	26	13967	d-none	5	2	-	0,1,2,5,8,13,14,15,16
127314	26	16290	d-none	5	1	-	1,4,6,8,12,13,14,15,16
132854	26	26014	d-none	6	3	-	1,2,4,5,6,7,9,10,17
135419	26	18811	c2-plane-two-point-switch	7	5	-	0,1,3,4,5,6,7,12,17
139170	26	62802	d-none	5	2	-	1,5,7,8,9,10,11,12,17
156487	26	83847	d-none	5	2	-	0,1,2,6,8,9,13,14,17
158321	26	116521	d-none	5	2	-	0,4,5,6,9,11,13,14,17
158743	26	158743	d-none	5	2	-	0,1,2,4,10,11,13,14,17
160537	26	85681	d-none	6	3	-	0,3,4,8,9,12,13,14,17
170166	26	40222	d-none	5	1	-	1,2,4,5,7,11,12,15,17
171593	26	64673	d-none	6	4	-	0,3,6,9,10,11,12,15,17
173745	26	93465	d-none	5	2	-	0,4,5,7,9,10,13,15,17
173958	26	93510	d-none	5	1	-	1,2,7,8,9,10,13,15,17
178247	26	56071	d-none	5	2	-	0,1,2,6,11,12,13,15,17
181799	26	158743	d-none	5	2	-	0,1,2,5,9,10,14,15,17
189288	26	87960	d-none	5	1	-	3,5,6,8,9,13,14,15,17
192850	26	24482	d-none	5	1	-	1,4,6,8,12,13,14,15,17
199255	26	13967	d-none	5	2	-	0,1,2,4,6,9,11,16,17
203109	26	38613	d-none	5	2	-	0,2,5,6,8,11,12,16,17
205374	26	75326	d-none	5	2	-	1,2,3,4,5,9,13,16,17
206023	26	83847	d-none	5	2	-	0,1,2,6,7,10,13,16,17
208112	26	87960	d-none	5	1	-	4,5,6,7,10,11,13,16,17
210073	26	116521	d-none	5	2	-	0,3,4,7,10,12,13,16,17
213358	26	26014	d-none	6	3	-	1,2,3,5,6,8,14,16,17
217705	26	93465	d-none	5	2	-	0,3,5,6,9,12,14,16,17
217798	26	93510	d-none	5	1	-	1,2,6,7,9,12,14,16,17
218127	26	158743	d-none	5	2	-	0,1,2,3,10,12,14,16,17
223168	26	223168	d-none	6	4	-	6,7,8,9,10,13,14,16,17
231627	26	8099	d-none	5	2	-	0,1,3,6,7,11,15,16,17
231630	26	8102	d-none	5	2	-	1,2,3,6,7,11,15,16,17
231642	26	8106	d-none	5	2	-	1,3,4,6,7,11,15,16,17
231658	26	8114	d-none	5	2	-	1,3,5,6,7,11,15,16,17
231882	26	8162	d-none	6	3	-	1,3,6,7,8,11,15,16,17
232138	26	16290	d-none	5	1	-	1,3,6,7,9,11,15,16,17
232650	26	24482	d-none	5	1	-	1,3,6,7,10,11,15,16,17
235722	26	40866	d-none	5	2	-	1,3,6,7,11,12,15,16,17
238052	26	29644	d-none	6	3	-	2,5,6,7,8,13,15,16,17
238697	26	85681	d-none	6	3	-	0,3,5,6,10,13,15,16,17
239818	26	62290	d-none	5	2	-	1,3,6,7,11,13,15,16,17
248010	26	62802	d-none	5	2	-	1,3,6,7,11,14,15,16,17
252177	26	64673	d-none	6	4	-	0,4,8,11,12,14,15,16,17
270242	26	270242	d-none	5	2	-	1,5,7,8,9,10,11,12,18
271829	26	271829	d-none	6	5	-	0,2,4,6,7,8,10,13,18
280766	26	280766	d-none	6	5	-	1,2,3,4,5,7,11,14,18
281717	26	281717	d-none	5	2	-	0,2,4,5,6,10,11,14,18
284266	26	284266	d-none	5	2	-	1,3,5,6,9,10,12,14,18
297433	26	297433	d-none	6	4	-	0,3,4,6,7,8,11,15,18
299834	26	299834	d-none	5	4	-	1,3,4,5,8,9,12,15,18
320045	26	320045	d-none	5	2	-	0,2,3,5,9,13,14,15,18
323922	26	323922	d-none	6	3	-	1,4,6,8,12,13,14,15,18
325643	26	325643	d-none	6	4	-	0,1,3,11,12,13,14,15,18
336446	26	336446	d-none	5	2	-	1,2,3,4,5,9,13,16,18
338401	26	338401	d-none	5	4	-	0,5,6,7,8,11,13,16,18
340212	26	340212	d-none	5	3	-	2,4,5,6,7,12,13,16,18
340551	26	340551	d-none	5	3	-	0,1,2,6,9,12,13,16,18
346578	26	346578	d-none	6	4	-	1,4,6,7,8,11,14,16,18
346651	26	346651	d-none	5	3	-	0,1,3,4,9,11,14,16,18
350505	26	281717	d-none	5	2	-	0,3,5,8,11,12,14,16,18
351756	26	351756	d-none	6	4	-	2,3,9,10,11,12,14,16,18
374560	26	374560	d-none	6	4	-	5,8,9,10,12,13,15,16,18
386124	26	386124	d-none	6	4	-	2,3,6,10,13,14,15,16,18
391264	26	391264	d-none	6	5	-	5,6,11,12,13,14,15,16,18
397025	26	340551	d-none	5	3	-	0,5,6,7,9,10,11,17,18
400082	26	400082	d-none	6	4	-	1,4,6,7,9,11,12,17,18
404824	26	270242	d-none	5	2	-	3,4,6,8,10,11,13,17,18
404936	26	404936	d-none	5	2	-	3,6,7,8,10,11,13,17,18
405320	26	405320	d-none	5	3	-	3,6,8,9,10,11,13,17,18
408904	26	408904	d-none	5	3	-	3,6,8,10,11,12,13,17,18
415783	26	415783	d-none	5	3	-	0,1,2,5,11,12,14,17,18
422538	26	422538	d-none	5	3	-	1,3,7,9,12,13,14,17,18
434715	26	434715	d-none	6	4	-	0,1,3,4,9,13,15,17,18
437576	26	437576	d-none	6	3	-	3,6,8,10,11,13,15,17,18
444998	26	444998	d-none	5	2	-	1,2,6,9,11,14,15,17,18
445012	26	408904	d-none	5	3	-	2,4,6,9,11,14,15,17,18
445124	26	404936	d-none	5	2	-	2,6,7,9,11,14,15,17,18
446020	26	446020	d-none	6	4	-	2,6,9,10,11,14,15,17,18
453188	26	437576	d-none	6	3	-	2,6,9,11,13,14,15,17,18
459577	26	459577	d-none	6	5	-	0,3,4,5,8,9,16,17,18
465450	26	465450	d-none	6	3	-	1,3,5,9,11,12,16,17,18
