# C1053 repair-DAG BFS map merge: interleaved A/B raw samples and summary
# variant	application:rdag:rust:21:3
# host_cpu_pinned	3
# rustc	rustc 1.93.1 (01f6ddf75 2026-02-11)
# control_binary	bench_kernels-3c4dd0293	sha256=ce3e0b06018d5de706f11fa3b0d942632a9e15980e09db92a507475060ff38e1
# candidate_binary	bench_kernels-c1053-cap64	sha256=f6d1bcac3994dabad84a829ebe9592d4b9f45fc5187997832cc2ccefb0483f10
# rejected_cap4096_binary	bench_kernels-c1053-candidate	sha256=530c3921b381ff00129915f0ad531a8a3eb98425ad8341d5c5d245325dbab43b
# profiles	cold=1 repetition, warm_batch=8 repetitions (BENCHMARKS.md protocol), kernel=1024 repetitions (startup-amortized, added here)
# sampler	scripts recorded verbatim below the tables

[accepted candidate: REPAIR_DAG_RESERVATION_CAP = 64] raw samples
round	profile	reps	arm	elapsed_ns	work	checksum	peak_rss_kib	instructions	cycles	branches	branch_misses
117	warm_batch	8	old	55503	32	24	2088	860923	776897	176836	6105
117	warm_batch	8	new	59000	32	24	2012	845021	779819	174565	6007
117	kernel	1024	old	6625973	4096	3072	2044	59890348	18912974	13056625	21032
117	kernel	1024	new	7678130	4096	3072	2116	57605235	19110259	12762894	16177
118	cold	1	new	19095	4	3	2132	457500	618775	89103	5283
118	cold	1	old	19136	4	3	2052	457947	707421	89080	5325
118	warm_batch	8	new	58499	32	24	2156	844944	845098	174540	6027
118	warm_batch	8	old	57066	32	24	2116	860832	844655	176805	6104
118	kernel	1024	new	11153813	4096	3072	2064	57604622	20578645	12762688	16056
118	kernel	1024	old	7618228	4096	3072	2116	59890662	18884774	13056731	20209
119	cold	1	old	17322	4	3	2020	458430	703606	89239	5250
119	cold	1	new	18334	4	3	2012	456905	740896	88904	5284
119	warm_batch	8	old	58940	32	24	1996	861360	902220	176981	6157
119	warm_batch	8	new	60062	32	24	2124	844879	902709	174519	6047
119	kernel	1024	old	7478999	4096	3072	2076	59889899	19031709	13056476	20615
119	kernel	1024	new	10566101	4096	3072	2096	57605034	19288525	12762824	16534
120	cold	1	new	19126	4	3	2020	457015	749826	88942	5305
120	cold	1	old	17452	4	3	2116	457470	795953	88919	5310
120	warm_batch	8	new	55884	32	24	2068	844867	902824	174515	6038
120	warm_batch	8	old	53660	32	24	2152	861234	932863	176939	6009
120	kernel	1024	new	7586660	4096	3072	2120	57605206	19359003	12762885	17170
120	kernel	1024	old	10537527	4096	3072	2140	59890609	19004885	13056709	20780
121	cold	1	old	21160	4	3	2092	458259	720191	89184	5365
121	cold	1	new	18424	4	3	2096	457374	753242	89061	5269
121	warm_batch	8	old	55172	32	24	2020	860933	860839	176838	6033
121	warm_batch	8	new	56405	32	24	2016	845395	904791	174691	6075
121	kernel	1024	old	10539230	4096	3072	2152	59890538	19005095	13056686	21533
121	kernel	1024	new	7607227	4096	3072	2076	57604444	19314985	12762631	16122

[accepted candidate] medians
parity	profile	arm	work_set	checksum_set
parity	cold	old	['4']	['3']
parity	cold	new	['4']	['3']
parity	warm_batch	old	['32']	['24']
parity	warm_batch	new	['32']	['24']
parity	kernel	old	['4096']	['3072']
parity	kernel	new	['4096']	['3072']

summary	profile	metric	old_median	new_median	ratio_new_over_old	delta_pct
summary	cold	elapsed_ns	18875.0	18514.5	0.9809	-1.91
summary	cold	peak_rss_kib	2102.0	2088.0	0.9933	-0.67
summary	cold	instructions	457977.0	457038.0	0.9979	-0.21
summary	cold	cycles	630947.5	616376.5	0.9769	-2.31
summary	cold	branches	89088.0	88949.0	0.9984	-0.16
summary	cold	branch_misses	5291.5	5293.0	1.0003	+0.03
per_solve	cold	elapsed_ns	18875.0	18514.5	0.9809	-1.91
per_solve	cold	instructions	457977.0	457038.0	0.9979	-0.21
per_solve	cold	cycles	630947.5	616376.5	0.9769	-2.31
summary	warm_batch	elapsed_ns	55312.5	57658.0	1.0424	+4.24
summary	warm_batch	peak_rss_kib	2092.0	2076.0	0.9924	-0.76
summary	warm_batch	instructions	860928.0	844953.0	0.9814	-1.86
summary	warm_batch	cycles	762530.0	763838.0	1.0017	+0.17
summary	warm_batch	branches	176837.0	174543.0	0.9870	-1.30
summary	warm_batch	branch_misses	6035.0	6037.5	1.0004	+0.04
per_solve	warm_batch	elapsed_ns	6914.1	7207.2	1.0424	+4.24
per_solve	warm_batch	instructions	107616.0	105619.1	0.9814	-1.86
per_solve	warm_batch	cycles	95316.2	95479.8	1.0017	+0.17
summary	kernel	elapsed_ns	7775965.0	7855864.0	1.0103	+1.03
summary	kernel	peak_rss_kib	2092.0	2080.0	0.9943	-0.57
summary	kernel	instructions	59890165.5	57605058.5	0.9618	-3.82
summary	kernel	cycles	18968905.0	19255204.0	1.0151	+1.51
summary	kernel	branches	13056564.0	12762835.5	0.9775	-2.25
summary	kernel	branch_misses	20716.5	16620.5	0.8023	-19.77
per_solve	kernel	elapsed_ns	7593.7	7671.7	1.0103	+1.03
per_solve	kernel	instructions	58486.5	56254.9	0.9618	-3.82
per_solve	kernel	cycles	18524.3	18803.9	1.0151	+1.51

[accepted candidate] paired log-ratio, new over old
profile	metric	n_pairs	geomean_new_over_old	delta_pct	t_score
cold	elapsed_ns	36	0.9283	-7.17	-1.08
cold	cycles	36	0.9898	-1.02	-0.92
cold	instructions	36	0.9980	-0.20	-12.29
cold	branches	36	0.9986	-0.14	-5.23
cold	branch_misses	36	1.0008	+0.08	+0.36
kernel	elapsed_ns	36	1.0016	+0.16	+0.04
kernel	cycles	36	1.0028	+0.28	+0.20
kernel	instructions	36	0.9618	-3.82	-27747.83
kernel	branches	36	0.9775	-2.25	-10670.04
kernel	branch_misses	36	0.7918	-20.82	-27.50
warm_batch	elapsed_ns	36	1.0368	+3.68	+3.04
warm_batch	cycles	36	1.0077	+0.77	+0.94
warm_batch	instructions	36	0.9815	-1.85	-228.68
warm_batch	branches	36	0.9871	-1.29	-98.06
warm_batch	branch_misses	36	1.0010	+0.10	+0.50

[rejected variant: cap 4096] medians (11 rounds)
parity	profile	arm	work_set	checksum_set
parity	cold	old	['4']	['3']
parity	cold	new	['4']	['3']
parity	warm_batch	old	['32']	['24']
parity	warm_batch	new	['32']	['24']
parity	kernel	old	['4096']	['3072']
parity	kernel	new	['4096']	['3072']

summary	profile	metric	old_median	new_median	ratio_new_over_old	delta_pct
summary	cold	elapsed_ns	13425.0	21360.0	1.5911	+59.11
summary	cold	peak_rss_kib	2096.0	2072.0	0.9885	-1.15
summary	cold	instructions	458007.0	457114.0	0.9981	-0.19
summary	cold	cycles	530059.0	535553.0	1.0104	+1.04
summary	cold	branches	89124.0	88937.0	0.9979	-0.21
summary	cold	branch_misses	5246.0	5261.0	1.0029	+0.29
per_solve	cold	elapsed_ns	13425.0	21360.0	1.5911	+59.11
per_solve	cold	instructions	458007.0	457114.0	0.9981	-0.19
per_solve	cold	cycles	530059.0	535553.0	1.0104	+1.04
summary	warm_batch	elapsed_ns	33693.0	45675.0	1.3556	+35.56
summary	warm_batch	peak_rss_kib	2120.0	2116.0	0.9981	-0.19
summary	warm_batch	instructions	860971.0	849172.0	0.9863	-1.37
summary	warm_batch	cycles	620105.0	629500.0	1.0152	+1.52
summary	warm_batch	branches	176876.0	175160.0	0.9903	-0.97
summary	warm_batch	branch_misses	6055.0	5903.0	0.9749	-2.51
per_solve	warm_batch	elapsed_ns	4211.6	5709.4	1.3556	+35.56
per_solve	warm_batch	instructions	107621.4	106146.5	0.9863	-1.37
per_solve	warm_batch	cycles	77513.1	78687.5	1.0152	+1.52
summary	kernel	elapsed_ns	2314839.0	2322344.0	1.0032	+0.32
summary	kernel	peak_rss_kib	2020.0	2096.0	1.0376	+3.76
summary	kernel	instructions	59890035.0	57960814.0	0.9678	-3.22
summary	kernel	cycles	11682117.0	11770071.0	1.0075	+0.75
summary	kernel	branches	13056518.0	12725857.0	0.9747	-2.53
summary	kernel	branch_misses	21755.0	19520.0	0.8973	-10.27
per_solve	kernel	elapsed_ns	2260.6	2267.9	1.0032	+0.32
per_solve	kernel	instructions	58486.4	56602.4	0.9678	-3.22
per_solve	kernel	cycles	11408.3	11494.2	1.0075	+0.75

[rejected variant: cap 256] medians (15 rounds)
parity	profile	arm	work_set	checksum_set
