[Z3xZ3xZ3xZ5] |G|=135 |Aut|=44928  order=true j=22 par-ply=10 cap=700000000
  [  15s] nodes=18910 memo=15942 rss=64MB
  [3645s] nodes=4574946 memo=4314298 rss=213MB
  [3660s] nodes=4590785 memo=4328033 rss=213MB
  [3675s] nodes=4606662 memo=4342371 rss=213MB
  [3690s] nodes=4622294 memo=4355735 rss=213MB
  [3705s] nodes=4638131 memo=4369145 rss=213MB
  [3720s] nodes=4653178 memo=4382860 rss=213MB
  [3735s] nodes=4667231 memo=4395248 rss=213MB
  [3750s] nodes=4681633 memo=4408110 rss=213MB
  [3765s] nodes=4697083 memo=4421707 rss=213MB
  [3780s] nodes=4711793 memo=4434137 rss=213MB
  [3795s] nodes=4724074 memo=4444737 rss=213MB
  [3810s] nodes=4733104 memo=4452575 rss=213MB
  [3825s] nodes=4742413 memo=4460579 rss=213MB
  [3840s] nodes=4750060 memo=4465715 rss=213MB
  [3855s] nodes=4762005 memo=4474282 rss=213MB
  [3870s] nodes=4773445 memo=4481973 rss=213MB
  [3885s] nodes=4781507 memo=4486909 rss=213MB
  [3900s] nodes=4790661 memo=4493169 rss=213MB
  [3915s] nodes=4803306 memo=4502387 rss=213MB
  [3930s] nodes=4812130 memo=4508734 rss=213MB
  [3945s] nodes=4817309 memo=4512816 rss=213MB
  [3960s] nodes=4820915 memo=4515483 rss=213MB
  [3975s] nodes=4822915 memo=4517034 rss=213MB
  [3990s] nodes=4824898 memo=4518888 rss=213MB
  [4005s] nodes=4838157 memo=4530360 rss=213MB
  [4020s] nodes=4843337 memo=4534457 rss=213MB
  [4035s] nodes=4845537 memo=4535657 rss=213MB
  [4050s] nodes=4847829 memo=4536961 rss=213MB
  [4065s] nodes=4850277 memo=4538679 rss=213MB
  [4080s] nodes=4852614 memo=4541017 rss=213MB
  [4095s] nodes=4855634 memo=4543721 rss=213MB
  [4110s] nodes=4869615 memo=4556122 rss=213MB
  [4125s] nodes=4884187 memo=4569485 rss=213MB
  [4140s] nodes=4898665 memo=4580710 rss=213MB
  [4155s] nodes=4913754 memo=4593020 rss=213MB
  [4170s] nodes=4927864 memo=4602863 rss=213MB
  [4185s] nodes=4943581 memo=4612890 rss=213MB
  [4200s] nodes=4959746 memo=4623310 rss=213MB
  [4215s] nodes=4974903 memo=4632055 rss=213MB
  [4230s] nodes=4989554 memo=4640891 rss=213MB
  [4245s] nodes=5000349 memo=4647929 rss=213MB
  [4260s] nodes=5008302 memo=4652118 rss=213MB
  [4275s] nodes=5012645 memo=4653287 rss=213MB
  [4290s] nodes=5016897 memo=4654433 rss=213MB
  [4305s] nodes=5021069 memo=4655540 rss=213MB
  [4320s] nodes=5033875 memo=4664420 rss=213MB
  [4335s] nodes=5059004 memo=4685727 rss=213MB
  [4350s] nodes=5083792 memo=4706745 rss=213MB
  [4365s] nodes=5108776 memo=4728899 rss=213MB
  [4380s] nodes=5133675 memo=4751208 rss=213MB
  [4395s] nodes=5158204 memo=4772569 rss=213MB
  [4410s] nodes=5181583 memo=4792470 rss=213MB
  [4425s] nodes=5205221 memo=4812386 rss=213MB
  [4440s] nodes=5228017 memo=4831809 rss=213MB
  [4455s] nodes=5249876 memo=4850474 rss=213MB
  [4470s] nodes=5272337 memo=4869509 rss=213MB
  [4485s] nodes=5294788 memo=4888683 rss=213MB
  [4500s] nodes=5317620 memo=4908892 rss=213MB
  [4515s] nodes=5341177 memo=4929942 rss=213MB
  [4530s] nodes=5363849 memo=4949980 rss=213MB
  [4545s] nodes=5385782 memo=4969520 rss=213MB
  [4560s] nodes=5407823 memo=4989266 rss=213MB
  [4575s] nodes=5429813 memo=5008937 rss=213MB
  [4590s] nodes=5451975 memo=5028639 rss=213MB
  [4605s] nodes=5473785 memo=5048096 rss=213MB
  [4620s] nodes=5496304 memo=5068142 rss=213MB
  [4635s] nodes=5518241 memo=5087684 rss=213MB
  [4650s] nodes=5540069 memo=5107306 rss=213MB
  [4665s] nodes=5562335 memo=5127223 rss=213MB
  [4680s] nodes=5584269 memo=5146925 rss=213MB
  [4695s] nodes=5605895 memo=5166342 rss=213MB
  [4710s] nodes=5627884 memo=5185907 rss=213MB
  [4725s] nodes=5649442 memo=5205132 rss=213MB
  [4740s] nodes=5670884 memo=5224288 rss=213MB
  [4755s] nodes=5692435 memo=5243430 rss=213MB
  [4770s] nodes=5714386 memo=5262910 rss=213MB
  [4785s] nodes=5735852 memo=5281378 rss=213MB
  [4800s] nodes=5757734 memo=5300248 rss=213MB
  [4815s] nodes=5779627 memo=5319226 rss=213MB
  [4830s] nodes=5802007 memo=5338610 rss=213MB
  [4845s] nodes=5823863 memo=5357516 rss=213MB
  [4860s] nodes=5845652 memo=5376374 rss=213MB
  [4875s] nodes=5867915 memo=5395509 rss=213MB
  [4890s] nodes=5890195 memo=5414702 rss=213MB
  [4905s] nodes=5912082 memo=5433644 rss=213MB
  [4920s] nodes=5933913 memo=5452349 rss=213MB
  [4935s] nodes=5955013 memo=5470587 rss=213MB
  [4950s] nodes=5976232 memo=5488795 rss=213MB
  [4965s] nodes=5997805 memo=5507278 rss=213MB
  [4980s] nodes=6019544 memo=5526065 rss=213MB
  [4995s] nodes=6041270 memo=5544878 rss=213MB
  [5010s] nodes=6062805 memo=5563495 rss=213MB
  [5025s] nodes=6084357 memo=5582076 rss=213MB
  [5040s] nodes=6106332 memo=5600949 rss=213MB
  [5055s] nodes=6127136 memo=5618903 rss=213MB
  [5070s] nodes=6148183 memo=5637153 rss=213MB
  [5085s] nodes=6168727 memo=5655093 rss=213MB
  [5100s] nodes=6189875 memo=5673974 rss=213MB
  [5115s] nodes=6210888 memo=5692808 rss=213MB
  [5130s] nodes=6232414 memo=5712153 rss=213MB
  [5145s] nodes=6254274 memo=5731851 rss=213MB
  [5160s] nodes=6276032 memo=5751438 rss=213MB
  [5175s] nodes=6298074 memo=5771398 rss=216MB
  [5190s] nodes=6319275 memo=5790477 rss=226MB
  [5205s] nodes=6340752 memo=5809056 rss=240MB
  [5220s] nodes=6362239 memo=5827727 rss=257MB
  [5235s] nodes=6383980 memo=5846550 rss=271MB
  [5250s] nodes=6404902 memo=5864712 rss=303MB
  [5265s] nodes=6426265 memo=5883387 rss=340MB
  [5280s] nodes=6448649 memo=5903541 rss=386MB
  [5295s] nodes=6469963 memo=5922808 rss=402MB
  [5310s] nodes=6491347 memo=5942187 rss=402MB
  [5325s] nodes=6512449 memo=5961251 rss=402MB
  [5340s] nodes=6533987 memo=5980772 rss=402MB
  [5355s] nodes=6555255 memo=6000000 rss=402MB
  [5370s] nodes=6576141 memo=6018846 rss=402MB
  [5385s] nodes=6597330 memo=6037912 rss=402MB
  [5400s] nodes=6618679 memo=6057198 rss=402MB
  [5415s] nodes=6639463 memo=6076028 rss=402MB
  [5430s] nodes=6659574 memo=6094617 rss=402MB
  [5445s] nodes=6679387 memo=6113079 rss=402MB
  [5460s] nodes=6700697 memo=6132113 rss=402MB
  [5475s] nodes=6721670 memo=6150912 rss=402MB
  [5490s] nodes=6742828 memo=6169789 rss=402MB
  [5505s] nodes=6764730 memo=6189444 rss=402MB
  [5520s] nodes=6786894 memo=6209220 rss=402MB
  [5535s] nodes=6808797 memo=6228913 rss=371MB
  [5550s] nodes=6830634 memo=6248441 rss=371MB
  [5565s] nodes=6852885 memo=6268576 rss=371MB
  [5580s] nodes=6874763 memo=6288265 rss=371MB
  [5595s] nodes=6896683 memo=6307724 rss=371MB
  [5610s] nodes=6918056 memo=6326924 rss=371MB
  [5625s] nodes=6939159 memo=6345848 rss=371MB
  [5640s] nodes=6960692 memo=6365138 rss=371MB
  [5655s] nodes=6982393 memo=6384487 rss=371MB
  [5670s] nodes=7004092 memo=6403792 rss=371MB
  [5685s] nodes=7025851 memo=6423298 rss=371MB
  [5700s] nodes=7047094 memo=6442359 rss=371MB
  [5715s] nodes=7068767 memo=6461567 rss=371MB
  [5730s] nodes=7089750 memo=6480262 rss=371MB
  [5745s] nodes=7110648 memo=6498885 rss=371MB
  [5760s] nodes=7130765 memo=6516847 rss=371MB
  [5775s] nodes=7151141 memo=6534996 rss=371MB
  [5790s] nodes=7171375 memo=6553048 rss=371MB
  [5805s] nodes=7192081 memo=6571706 rss=371MB
  [5820s] nodes=7213145 memo=6590055 rss=371MB
  [5835s] nodes=7233869 memo=6607763 rss=371MB
  [5850s] nodes=7253919 memo=6625064 rss=371MB
  [5865s] nodes=7273537 memo=6641915 rss=371MB
  [5880s] nodes=7293100 memo=6658752 rss=371MB
  [5895s] nodes=7312968 memo=6676055 rss=371MB
  [5910s] nodes=7333493 memo=6694555 rss=371MB
  [5925s] nodes=7354656 memo=6713359 rss=371MB
  [5940s] nodes=7374844 memo=6731417 rss=371MB
  [5955s] nodes=7394905 memo=6749316 rss=371MB
  [5970s] nodes=7415151 memo=6767277 rss=371MB
  [5985s] nodes=7435259 memo=6785145 rss=371MB
  [6000s] nodes=7455807 memo=6803538 rss=371MB
  [6015s] nodes=7475832 memo=6821479 rss=371MB
  [6030s] nodes=7495864 memo=6839470 rss=371MB
  [6045s] nodes=7516115 memo=6857434 rss=371MB
  [6060s] nodes=7535934 memo=6875121 rss=371MB
  [6075s] nodes=7555824 memo=6892865 rss=371MB
  [6090s] nodes=7575347 memo=6910329 rss=371MB
  [6105s] nodes=7595600 memo=6928474 rss=371MB
